from,to
Residual_heat_flux,Residual_tot_precip
Residual_heat_flux,Residual_cloud_water
Residual_heat_flux,Residual_cloud_cover
Residual_heat_flux,Residual_SLP
Residual_heat_flux,Residual_u10m
Residual_heat_flux,Residual_v10m
Residual_heat_flux,Residual_sea_ice
Residual_shortwave,Residual_sea_ice
Residual_longwave,Residual_sea_ice
Residual_SLP,Residual_RH
Residual_SLP,Residual_GH_mean
Residual_SLP,Residual_sea_ice
Residual_SLP,Residual_heat_flux
Residual_SLP,Residual_u10m
Residual_SLP,Residual_v10m
Residual_tot_precip,Residual_cloud_water
Residual_tot_precip,Residual_cloud_cover
Residual_tot_precip,Residual_sea_ice
Residual_tot_precip,Residual_longwave
Residual_tot_precip,Residual_RH
Residual_tot_precip,Residual_heat_flux
Residual_RH,Residual_cloud_water
Residual_RH,Residual_cloud_cover
Residual_RH,Residual_tot_precip
Residual_RH,Residual_longwave
Residual_u10m,Residual_sea_ice
Residual_u10m,Residual_heat_flux
Residual_v10m,Residual_sea_ice
Residual_v10m,Residual_heat_flux
Residual_sea_ice,Residual_longwave
Residual_sea_ice,Residual_SLP
Residual_sea_ice,Residual_u10m
Residual_sea_ice,Residual_v10m
Residual_sea_ice,Residual_heat_flux
Residual_sea_ice,Residual_shortwave
Residual_cloud_cover,Residual_shortwave
Residual_cloud_cover,Residual_longwave
Residual_cloud_cover,Residual_RH
Residual_cloud_cover,Residual_tot_precip
Residual_cloud_cover,Residual_heat_flux
Residual_cloud_water,Residual_shortwave
Residual_cloud_water,Residual_longwave
Residual_cloud_water,Residual_RH
Residual_cloud_water,Residual_heat_flux
Residual_cloud_water,Residual_tot_precip
Residual_GH_mean,Residual_longwave
Residual_GH_mean,Residual_RH
Residual_GH_mean,Residual_SLP
